age,job,marital,education,default,housing,loan,contact,campaign,poutcome,y
53,management,divorced,secondary,no,no,yes,cellular,2,other,no
44,unemployed,married,secondary,no,no,no,cellular,2,failure,yes
60,admin.,married,secondary,no,no,no,cellular,1,success,yes
47,housemaid,single,tertiary,no,no,no,telephone,1,failure,no
31,technician,single,tertiary,no,no,no,cellular,1,failure,no
30,management,married,tertiary,no,yes,yes,cellular,2,other,no
29,management,single,tertiary,no,no,no,cellular,1,success,yes
33,blue-collar,single,primary,no,yes,no,cellular,2,failure,no
54,blue-collar,married,primary,no,yes,no,telephone,2,failure,yes
51,unemployed,married,tertiary,no,no,no,cellular,1,success,yes
29,management,married,tertiary,no,yes,no,cellular,2,other,yes
32,management,single,tertiary,no,yes,no,cellular,3,failure,yes
40,services,divorced,primary,no,yes,no,cellular,1,failure,yes
46,technician,married,secondary,no,yes,no,cellular,2,failure,yes
26,management,single,tertiary,no,yes,no,cellular,1,failure,yes
42,management,married,primary,no,yes,no,cellular,1,success,yes
44,management,single,tertiary,no,no,no,cellular,4,success,yes
32,blue-collar,single,secondary,no,yes,no,cellular,1,failure,no
31,technician,single,tertiary,no,no,yes,cellular,2,failure,no
36,blue-collar,divorced,secondary,no,yes,no,cellular,7,other,no
42,blue-collar,married,secondary,no,yes,no,cellular,1,failure,yes
31,management,single,tertiary,no,no,no,cellular,2,success,no
37,self-employed,married,tertiary,no,yes,no,cellular,1,other,no
27,management,single,tertiary,no,no,no,cellular,1,success,yes
44,services,married,secondary,no,yes,no,telephone,5,failure,no
38,blue-collar,married,secondary,no,yes,yes,cellular,1,failure,no
34,management,married,tertiary,no,yes,no,cellular,2,failure,yes
37,management,married,tertiary,no,yes,no,cellular,2,failure,no
50,housemaid,married,secondary,no,no,no,cellular,2,failure,yes
27,student,single,tertiary,no,no,no,cellular,2,failure,yes
54,technician,divorced,secondary,no,yes,no,cellular,1,success,no
33,blue-collar,single,secondary,no,yes,no,cellular,2,failure,no
35,technician,married,secondary,no,yes,no,cellular,6,success,no
33,technician,married,tertiary,no,no,no,cellular,2,success,yes
42,blue-collar,married,primary,no,yes,no,cellular,3,other,yes
46,management,married,tertiary,no,yes,no,cellular,4,failure,no
26,unemployed,married,secondary,no,yes,no,cellular,2,failure,no
36,services,married,secondary,no,yes,no,cellular,1,failure,no
38,admin.,married,secondary,no,yes,no,cellular,1,success,no
26,admin.,single,secondary,no,yes,no,cellular,2,failure,no
47,technician,married,secondary,no,no,no,cellular,1,success,no
30,management,single,tertiary,no,no,no,cellular,1,success,yes
37,services,married,secondary,no,yes,yes,cellular,2,failure,yes
29,management,single,tertiary,no,yes,no,cellular,1,failure,yes
31,blue-collar,divorced,primary,no,yes,no,cellular,5,failure,no
40,management,single,tertiary,no,yes,no,cellular,1,failure,no
34,management,single,tertiary,no,yes,no,cellular,2,failure,no
38,management,single,tertiary,no,yes,no,cellular,1,failure,yes
35,blue-collar,married,primary,no,yes,no,cellular,1,failure,yes
48,admin.,married,secondary,no,no,no,cellular,1,success,yes
35,unemployed,married,secondary,no,no,no,cellular,3,success,yes
42,technician,married,tertiary,no,yes,yes,telephone,3,failure,no
30,management,married,tertiary,no,no,no,cellular,1,failure,no
46,blue-collar,married,primary,no,yes,no,telephone,4,other,no
48,blue-collar,married,secondary,no,yes,no,cellular,1,failure,no
35,admin.,divorced,secondary,no,no,no,cellular,6,other,no
38,technician,married,secondary,no,yes,no,cellular,1,success,yes
50,unemployed,married,tertiary,no,no,no,cellular,1,failure,yes
33,services,single,secondary,no,yes,no,cellular,3,failure,no
53,blue-collar,married,primary,no,no,no,cellular,3,success,yes
28,admin.,single,secondary,no,yes,yes,cellular,2,success,yes
39,blue-collar,married,secondary,no,yes,no,cellular,2,failure,no
40,blue-collar,married,primary,no,yes,no,cellular,3,failure,yes
35,management,married,tertiary,no,yes,no,cellular,2,other,no
47,blue-collar,married,primary,no,yes,no,cellular,2,failure,yes
55,retired,married,secondary,no,no,no,cellular,1,other,no
43,services,single,secondary,no,yes,no,cellular,1,failure,yes
32,management,single,tertiary,no,no,no,cellular,2,success,no
34,technician,single,secondary,no,no,no,cellular,2,failure,no
46,admin.,single,secondary,no,yes,yes,cellular,3,failure,no
33,self-employed,single,tertiary,no,yes,yes,cellular,1,failure,yes
45,management,single,tertiary,no,yes,no,cellular,1,failure,yes
37,admin.,married,secondary,no,yes,yes,cellular,2,failure,no
30,management,single,tertiary,no,no,yes,cellular,1,other,yes
54,housemaid,married,secondary,no,yes,no,cellular,2,failure,yes
30,services,single,secondary,no,yes,no,cellular,1,failure,no
38,services,married,secondary,no,no,no,cellular,1,success,yes
75,retired,married,primary,no,no,no,telephone,1,failure,yes
46,admin.,married,secondary,no,no,no,cellular,1,other,no
36,management,married,tertiary,no,yes,no,cellular,4,other,yes
51,technician,single,secondary,no,yes,no,cellular,1,other,no
39,technician,married,tertiary,no,no,no,cellular,3,other,no
32,management,divorced,tertiary,no,yes,no,cellular,1,failure,no
59,technician,married,secondary,no,no,no,cellular,1,success,yes
33,admin.,single,tertiary,no,yes,no,cellular,2,success,no
32,management,single,tertiary,no,no,no,cellular,1,failure,yes
66,retired,married,secondary,no,no,no,cellular,1,success,yes
37,services,married,tertiary,no,yes,no,cellular,3,failure,no
39,blue-collar,divorced,secondary,no,yes,no,cellular,2,other,no
33,blue-collar,married,secondary,no,yes,no,cellular,1,failure,no
40,admin.,single,secondary,no,yes,no,cellular,3,other,no
37,services,single,secondary,no,yes,no,cellular,2,failure,no
55,housemaid,divorced,primary,no,no,no,cellular,1,other,yes
56,retired,married,secondary,no,yes,no,cellular,1,other,yes
37,admin.,married,secondary,no,yes,no,telephone,2,success,yes
42,admin.,single,secondary,no,yes,yes,cellular,2,success,no
46,management,married,tertiary,no,no,no,cellular,2,other,yes
43,management,married,tertiary,no,no,no,cellular,1,failure,yes
36,admin.,married,secondary,no,yes,no,cellular,2,other,no
37,technician,married,tertiary,no,yes,no,cellular,1,success,yes
43,services,married,secondary,no,no,no,cellular,1,success,no
29,admin.,married,tertiary,no,no,no,cellular,2,failure,yes
31,admin.,single,secondary,no,no,yes,cellular,1,failure,yes
33,management,single,tertiary,no,yes,no,cellular,3,failure,yes
56,technician,married,secondary,no,yes,no,cellular,1,failure,no
30,admin.,single,tertiary,no,no,no,cellular,1,success,no
45,management,single,tertiary,no,no,no,cellular,2,failure,yes
46,unemployed,divorced,secondary,no,yes,no,cellular,1,success,yes
45,technician,married,secondary,no,no,no,cellular,2,failure,no
28,services,single,secondary,no,no,no,cellular,3,success,no
53,admin.,married,secondary,no,no,no,cellular,2,success,yes
53,management,married,tertiary,no,no,no,cellular,1,other,no
47,blue-collar,married,primary,no,yes,yes,cellular,2,failure,no
27,technician,single,tertiary,no,no,no,cellular,3,success,yes
41,management,married,primary,no,yes,no,cellular,1,failure,no
36,technician,married,secondary,no,yes,no,cellular,2,failure,no
34,management,single,tertiary,no,yes,no,cellular,3,other,no
33,management,married,tertiary,no,no,no,cellular,2,success,no
38,management,married,tertiary,no,no,no,cellular,2,success,yes
32,management,single,tertiary,no,no,no,cellular,1,success,no
40,management,married,tertiary,no,yes,no,cellular,2,success,yes
46,entrepreneur,married,secondary,no,no,no,cellular,2,failure,no
38,admin.,married,secondary,no,no,no,cellular,2,failure,yes
51,services,married,tertiary,no,yes,no,cellular,3,failure,no
45,management,married,tertiary,no,no,no,cellular,2,success,yes
36,management,married,tertiary,no,no,no,cellular,1,success,yes
50,technician,married,secondary,no,yes,yes,cellular,2,failure,no
22,student,single,secondary,no,no,no,telephone,1,success,yes
53,services,married,secondary,no,yes,yes,cellular,1,failure,yes
45,admin.,single,secondary,no,yes,no,cellular,1,failure,yes
33,management,married,tertiary,no,no,no,cellular,3,other,no
32,management,single,tertiary,no,no,no,cellular,2,success,yes
