Corrida,M_porcentaje,M_num,Performance_train,Size_tree,Num_leaves,Prof_Tree,Performance_test
1,0.05,0.05,73.8118649623074,5,8,3,75.7536041939712
2,0.1,0.1,73.8118649623074,5,8,3,75.7536041939712
3,0.15,0.15,73.8118649623074,5,8,3,75.7536041939712
4,0.2,0.2,76.1717469682071,52,74,8,76.0157273918742
5,0.25,0.25,76.8928220255654,68,95,8,76.0157273918742
6,0.3,0.3,77.4500163880695,85,118,8,75.2293577981651
7,0.35,0.35,77.4500163880695,85,118,8,75.2293577981651
8,0.4,0.4,78.2366437233694,145,192,8,75.3604193971166
9,0.45,0.45,78.3349721402819,148,197,8,75.3604193971166
10,0.5,0.5,78.7938380858735,193,254,8,74.4429882044561
