Corrida,M_porcentaje,M_num,Performance_train,Size_tree,Num_leaves,Prof_Tree,Performance_test,Noise_Percentage
1,0.05,0.05,73.2218944608325,5,8,3,75.7536041939712,1
2,0.1,0.1,73.2218944608325,5,8,3,75.7536041939712,1
3,0.15,0.15,73.2218944608325,5,8,3,75.7536041939712,1
4,0.2,0.2,75.3523434939364,48,68,8,76.4089121887287,1
5,0.25,0.25,75.9423139954113,64,89,8,76.1467889908257,1
6,0.3,0.3,76.5650606358571,78,107,8,75.7536041939712,1
7,0.35,0.35,76.7617174696821,88,118,8,75.8846657929227,1
8,0.4,0.4,77.548344804982,148,192,8,76.0157273918742,1
9,0.45,0.45,78.0072107505736,182,237,8,75.2293577981651,1
10,0.5,0.5,78.6299573910193,228,296,8,73.9187418086501,1
1,0.05,0.05,72.6647000983284,5,8,3,75.7536041939712,2
2,0.1,0.1,72.6647000983284,5,8,3,75.7536041939712,2
3,0.15,0.15,72.6647000983284,5,8,3,75.7536041939712,2
4,0.2,0.2,74.860701409374,45,63,8,76.5399737876802,2
5,0.25,0.25,76.1717469682071,76,104,8,75.2293577981651,2
6,0.3,0.3,76.401179941003,80,111,8,75.2293577981651,2
7,0.35,0.35,76.401179941003,80,111,8,75.2293577981651,2
8,0.4,0.4,77.2205834152737,135,183,9,75.2293577981651,2
9,0.45,0.45,77.4827925270403,154,208,9,75.0982961992136,2
10,0.5,0.5,78.9577187807276,258,339,9,74.1808650065531,2
1,0.05,0.05,72.2713864306785,5,8,3,75.7536041939712,3
2,0.1,0.1,72.2713864306785,5,8,3,75.7536041939712,3
3,0.15,0.15,72.2713864306785,5,8,3,75.7536041939712,3
4,0.2,0.2,74.1724024909866,40,54,6,76.5399737876802,3
5,0.25,0.25,75.7456571615864,76,102,8,74.9672346002621,3
6,0.3,0.3,76.7617174696821,124,169,8,74.8361730013106,3
7,0.35,0.35,76.8928220255654,130,178,8,74.8361730013106,3
8,0.4,0.4,77.1222549983612,144,196,9,74.8361730013106,3
9,0.45,0.45,78.0727630285152,223,295,9,73.9187418086501,3
10,0.5,0.5,78.695509668961,281,366,9,72.7391874180865,3
1,0.05,0.05,71.4519829564077,4,6,2,75.4914809960681,4
2,0.1,0.1,71.4519829564077,4,6,2,75.4914809960681,4
3,0.15,0.15,71.4519829564077,4,6,2,75.4914809960681,4
4,0.2,0.2,72.9924614880367,35,45,7,76.6710353866317,4
5,0.25,0.25,74.7951491314323,94,120,9,76.4089121887287,4
6,0.3,0.3,75.7128810226155,131,169,9,76.2778505897772,4
